job,count
waitress,33
teacher,25
bartender,25
receptionist,18
lifeguard,16
waiter,14
dishwasher,14
graphic designer,14
barmaid,14
cashier,13
security guard,12
cleaner,11
sales assistant,11
waitress ,11
barista,11
paperboy,10
lawyer,10
bank teller,9
chef,8
nanny,8
shop assistant,8
barman,8
jobs:,8
bookseller,8
camp counselor,8
paper boy,7
receptionist ,7
dog walker,7
baker,7
telemarketer,7
babysitter,7
web developer,7
barista ,7
editor,6
soldier,6
librarian,6
mcdonalds,6
jobs i have had:,6
library assistant,6
data entry clerk,6
...,6
research assistant,5
youth worker,5
labourer,5
paper round,5
pa,5
retail assistant,5
newspaper delivery,5
it manager,5
bakery assistant,5
copywriter,5
student,5
journalist,5
video editor,5
carpenter,5
starbucks barista,5
janitor,5
business owner,5
tutor,5
retail,5
landscaper,5
lifeguard ,5
shelf stacker,5
sales assistant ,5
bar staff,5
making the most comfortable socks on earth.,5
shop assistant ,5
gas pumper,5
jack’s maniacs member,5
pharmacy tech,4
writer,4
musician,4
author,4
jobs i had:,4
admin assistant,4
doctor,4
au pair,4
none,4
factory worker,4
file clerk,4
summer camp counselor,4
paralegal,4
software engineer,4
security,4
reporter,4
data entry,4
cook,4
deli clerk,4
web designer,4
grocery store clerk,4
library page,4
hitman.,4
bar manager,4
man,4
secretary,4
teaching assistant,4
- general assistant at a supermarket,4
office worker,4
not shouting for @manutd ,4
ah,4
shoe salesman,3
data analyst,3
gardener,3
kitchen hand,3
gallery assistant,3
butcher,3
kitchen porter,3
courier,3
farm hand,3
carer,3
pizza maker,3
freelance artist,3
warehouse operative,3
bookkeeper,3
correctional officer,3
delivery driver,3
book seller,3
jobs that i've had:,3
dj,3
mother,3
server,3
public defender,3
videographer,3
tour guide,3
roller coaster operator,3
freelance writer,3
truck driver,3
photographer ,3
fast food cashier,3
lecturer,3
photographer,3
music journalist,3
art teacher,3
tech support,3
dishwasher ,3
accountant,3
gymnastics coach,3
jobs/5 tags,3
actress,3
producer,3
florist,3
farmhand,3
actor,3
florist ,3
bakery clerk,3
programmer,3
video store clerk,3
retail assistant ,3
grocery store cashier,3
envelope stuffer,3
bank clerk ,3
telephone operator,3
museum guide,3
college lecturer,3
papergirl,3
piano teacher,3
communications officer ,3
technical writer,3
personal assistant,3
customer service assistant,3
glass collector,3
software developer,3
warehouse clerk,3
au pair in paris,3
marketing manager,3
translator,3
design engineer,3
bar tender,2
stock clerk,2
medical secretary,2
archaeologist ,2
supermarket shelf stacker,2
bus driver,2
it technician,2
print finisher,2
project manager,2
hairdressing junior,2
social media manager,2
seo specialist,2
telemarketing ,2
banker,2
car washer,2
construction worker,2
shop assistant.,2
hotel maintenance,2
door to door charity fundraiser,2
public school teacher,2
fishmonger,2
warehouse,2
freelance illustrator,2
pet shop assistant,2
musician ,2
barista ☕,2
hairdresser,2
researcher,2
dad,2
animator,2
bakery assistant ,2
barperson,2
jobs i have had.,2
theatre usher,2
chamber maid,2
bar maid,2
coal miner,2
physician,2
executive pa,2
mad scientist ,2
electronics salesman,2
teaching assistant ,2
financial auditor,2
spanish tutor,2
- camp counselor,2
event coordinator ,2
youtuber,2
computer programmer,2
advertising executive,2
lover,2
retail sales assistant,2
congressional page,2
bouncer,2
graphic designer ,2
sign maker,2
santa’s elf,2
news reporter,2
pet/house sitter,2
marketing 🎯,2
swim instructor,2
radio announcer,2
gas station attendant,2
 nanny,2
code monkey,2
retail cashier,2
systems engineer,2
housekeeping,2
record store clerk,2
hand model,2
sales associate,2
pizza delivery,2
window washer,2
little league umpire ,2
 busboy,2
archaeologist,2
cocktail waitress,2
 law professor,2
college professor,2
hotel housekeeper,2
retail sales associate,2
flight attendant,2
office assistant,2
restaurant hostess,2
legal recruiter,2
fast food worker ,2
meat cutter,2
painter,2
freelance photographer,2
middle school teacher,2
university lecturer,2
soccer referee,2
youth minister,2
caregiver,2
security officer,2
burger flipper,2
accounting clerk,2
english tutor,2
line cook,2
fundraiser,2
jewellery seller,2
music teacher,2
car salesman,2
driver,2
milkman,2
academic advisor,2
supermarket cashier,2
bookstore manager,2
published poet,2
physical therapy aide,2
education assistant,2
attorney,2
drummer,2
call center rep,2
census enumerator,2
production assistant,2
drywaller,2
tbd,2
sous chef,2
i worked at a water park for four hours. first last and only day and not because i was fired or quit.,2
dog sitting ,2
"""engineering summer hire""",2
checkout operator,2
movie theatre usher,2
executive assistant,2
marketing executive ,2
construction,2
customer service agent,2
english teacher,2
sound engineer,2
grass cutter,2
makeup artist,2
legal assistant,2
bar work,2
midwife,2
journalist ,2
paper girl,2
travel agent,2
accounts assistant,2
pharmacy assistant ,2
waiter ,2
grocery store bagger,2
barrister,2
teacher ,2
barmaid ,2
grill cook,2
silver service waitress,2
private tutor,2
school bus driver,2
music editor 🎶,2
care assistant ,2
sen teaching assistant,2
restaurant host,2
administrator,2
teacher's assistant,2
sandwich shop,2
rock garden designer,2
........... never mind.,2
health and beauty clerk (current),2
real estate broker,2
scientist,2
p.a,2
social media manager ,2
college tutor,2
administrative assistant,2
preschool teacher,2
farmer,2
warehouse operator,2
excel teacher (!!!),2
database administrator,2
carpet cleaner ,2
potato picker,2
catering assistant,2
primary school teacher,2
freelance translator,2
care assistant,2
secondary school teacher,2
holiday rep,2
market researcher,2
theme park ticket junior,2
theme park ticket guru,2
theme park ticket legend,2
theme park ticket god,2
car sales ,2
marketing manager ,2
childminder ,2
tefl teacher,2
college teacher,2
employment officer ,2
support worker ,2
researcher ,2
@safeway cashier,2
civil servant,2
archivist,2
marketing assistant,2
barman ,2
logistics manager,2
retail sales assistant ,2
apprentice tool maker,2
software pre-sales engineer,2
bus boy,2
jobs ,1
fruit picker ,1
forecourt attendant ,1
waterpump engineer,1
bathroom tiler,1
fortran developer,1
patient coordinator @ hearing aids office,1
credit union teller,1
payroll manager,1
supermarket cart pusher,1
pizza delivery person,1
floor polisher in a hospital,1
used book store clerk,1
thesis/dissertation cataloger,1
gardener on a graveyard,1
worker in a lighting factory,1
stagehand for various bands,1
assistant nurse,1
military police,1
bodyguard ,1
 dishwasher for the nj mafia,1
 a&amp;p frozen foods clerk,1
 bricklayer,1
 singing waiter,1
 overnight cigarette-rack install in every @duanereade in nyc https://t.co/rniiteabwj,1
local grocer’s shop (back when we had little independent grocery shops) 2. florist. 3. psychiatric nurse (back when we had mental health services). 4. owned and ran a video shop (back when we had videos). 5. bookshop (just about hanging in there...),1
nursery manager,1
bookie,1
recruitment assistant ,1
sewing machine operator ,1
bar person ,1
team manager (life insurance),1
careers adviser https://t.co/jia6grltbl,1
jobs i had when i was younger:-,1
tyre fitter,1
petrol station attendant,1
inventory assistant,1
traffic researcher,1
informatics manager,1
skating rink dj (this will be a moonlight skate....),1
⬛️⬛️⬛️⬛️*redacted*⬛️⬛️⬛️⬛️,1
biker bar dj/ bouncer,1
strip club emcee/ radio dj,1
actor / voiceover legend ,1
event planner,1
food bank human resources director,1
book reviewer,1
beta reader,1
podcaster,1
butlin's redcoat,1
stage manager/ live studio floor,1
chief operations officer,1
chief executive (national charity),1
zumba/fitsteps/etm instructor,1
window glazing telephone sales,1
wedding function barman/waiter,1
husband/father/consultant anaesthetist,1
model agent ,1
shopping mall manager,1
horse broker ,1
simultaneous interpretator,1
"it, ai, ml &amp; rpa technologies business analyst.",1
waitress &amp; barmaid,1
court usher at a magistrates' court ,1
administrator in town planning at a local council ,1
publishing editor at a journals publisher,1
assistant editor &gt; rights director &gt; digital &amp; audio publisher @princetonupress https://t.co/a6kvscc8rl,1
kiwi can,1
push play,1
jet boat support,1
gannet mascot,1
dodgy dvd sales person (it got weird for a bit....),1
... admin assistant?,1
assistant manager @lovebravissimo ,1
pub manager ,1
govern’t worker 3yrs,1
singer in band/pt 5yrs,1
barber 35+ yrs ,1
it installation engineer,1
vmware expert,1
infrastructure manager,1
thorntons shop assistant,1
tv studio runner,1
tv camera operator,1
it lord....,1
relief post man,1
office furniture assembly line operator,1
horse caretaker,1
) artist,1
apple picker,1
designer ,1
and i worked at a bread factory,1
"civilian chef in the irish guards,         chelsea barracks",1
managed a fireworks shop ,1
cleaner ,1
pa to senator ivana bacik,1
librarian ,1
interview prep for mba aspirants,1
teller at a bank,1
cigarette salesman,1
amateur caster for esports :d,1
??,1
"jobs, jeg har haft:",1
service desk analyst,1
night club promoter,1
recruitment officer,1
janitorial/maintenance @bassproshops ,1
"busser, culinary assistant, server, bartender, certified head trainer @cheddarskitchen ",1
sandwich artist/shift closer,1
"""chick magnet""/shift lead ",1
paper boy.,1
gamestation sales assistant.,1
technical support advisor.,1
senior technical engineer.,1
systems administrator.,1
game retail shop assistant ,1
professional memer,1
minecraft esports player,1
jar jar binks defense squad leader,1
president of scotland,1
a tinker,1
a tailor,1
a soldier,1
a sailor ,1
a thief,1
airfreight clerk.,1
call centre customer service advisor.,1
cycle courier.,1
cleaner.,1
seo.,1
retail - strandbags,1
account associate for debts in aus &amp; nz at panthera finance,1
lending service specialist at commonwealth bank of australia  (currently),1
retail clerk. ,1
cook. ,1
atm repair technician. ,1
theater assistant. ,1
smoothie maker.,1
soft hedgehog maker,1
sausage roll server,1
builder's yard secretary,1
european director of product,1
vegetable-based gag writer,1
swimming coach,1
legal intern,1
mental health phone line coordinator,1
"...and my personal favourite, line art colourist",1
lifeguard + swim teacher ,1
counselor at camp for girls w diabetes #bearskinmeadow,1
law firm paper-filing (windowless),1
"bra, pjs, bath/body care retail",1
professor,1
emergency room tech,1
highway construction,1
millwork carpenter,1
fcp trainer/video engineer,1
post production supervisor/video producer/lead video editor @ national archives,1
"call centre,",1
"bar manager,",1
"horror attraction actor,",1
"store sales person,",1
marketing designer. ,1
working in a factory making printer cartridges,1
working in a factory making clingfilm,1
working in a factory making wooden pallets,1
working in a factory drilling holes into bits of wood (no one explained why),1
working in a factory putting screws into bags,1
associate copy editor,1
senior product exec (in #publishing too),1
creative writing workshop conductor,1
supermarket cleaner,1
bioinformatics dna analyst,1
community worker ,1
theology lecturer,1
customer service (at gatwick airport) ✈️ ,1
pr junior account exec,1
content writer (travel) 🌴 ,1
digital content for a charity 🐱,1
marine engineer officer on oil tankers,1
sales engineer for oil industry valves &amp; guages,1
regional engineer surveying factories designing &amp; selling ventilation/heat solutions,1
sales office manager for folk like no.3,1
a vicar,1
research manager (celebrity booking agency 😂),1
publishing assistant,1
senior editor,1
retail @asda @georgeatasda. ,1
worked at petrol station.,1
blogger for @staffsstudents. ,1
christmas worker for @royalmail.,1
now part time broadcast assistant @bbcradiostoke and loving every moment of it.,1
barmaid for yates’s ,1
pa to chairman,1
hr manager,1
meat works (neck trimming),1
stage actor ,1
fisheries science officer,1
policy and trade strategy advisor ,1
ministerial private secretary,1
bookseller ,1
sub-editor at a travel security company in cape town,1
project manager x2,1
yoga teacher (as of july 2019!),1
call centre operator for 7/11,1
call centre operator for internode,1
call centre operator  for puretec,1
call centre operator for land services,1
custom sheet metal worker,1
air-conditioning installation and repair,1
software test engineer (microsoft),1
caregiver for developmentally disabled children (current),1
lord commander of the night’s watch,1
purveyor of beauty and discretion,1
guy who feeds goats to the dragons ,1
innkeeper but the inn keeps getting ransacked,1
hot pie,1
market stall trader,1
hardware store assistant. 2. undercover operative for london underground   ,1
bar worker (x about 25 pubs) ,1
video production facility librarian ,1
debenhams cafe worker (sorry for the breakages),1
jobs this twitter admin has had:,1
watersports instructor (kayaks not piss),1
wasp exterminator,1
i have never had,1
more than five jobs,1
sushi restaurant waiter ,1
customer service call agent ,1
 graphic designer ,1
web designer ,1
threatening to exterminate roy castle,1
threatening to exterminate frazer hines,1
threatening to exterminate billie piper,1
threatening to exterminate catherine tate,1
threatening to exterminate elisabeth sladen,1
stock manager for food wholesaler📋,1
restaurant manager 🍽,1
apprentice baker🍰🍪🍩,1
 pr lead for small construction firm⚒(the firm was really bad and i lasted 2 weeks.. they still owe me wages.. i dont hold  a grudge),1
radiographer ☢,1
took care of eating folks; developed deep distrust of restaurant eggs,1
wiped butts; read stories; led lil people yoga; first questioned parenthood as a life decision,1
taught writing; all kinds,1
wrote technical things about mice &amp; rats,1
disrupt higher ed,1
market research recruiter,1
waitress/barista (so many...),1
telemarketer ,1
youtuber i guess??,1
professional opinion giver (no really i got paid a lot to review new products and talk about nerdy shit) ,1
rock wall belayer ,1
call center,1
stripper (a shy stripper with social anxiety),1
amatuer porn (it’s was short lived.  industry is just a bad yeast infection waiting to happen) ,1
cosplay model/ influencer/ (whatever that even means) ,1
hotel room cleaner,1
"barista (well, i worked the coffee machine - does that count?)",1
museum tour guide,1
recruitment (very short lived),1
zoo keeper (see: mother),1
cleaner (see: girlfriend),1
cactus nurseryman,1
programme seller at rod stewart concerts &amp; knebworth festival,1
pe teacher 17 years,1
barman in a hotel ,1
english teacher 12 years.,1
– cricket ground steward,1
– bar staff,1
– computer game audio engineer,1
– blockbuster video employee,1
– careers adviser,1
jobs i've jad,1
- sample worker in agriculture(idk how to specifically translate that from my language but this is the closest),1
night guard,1
seasonal work: fruit picking,1
taking orders for foreign currency over the phone from post offices.,1
lithographic printer.,1
greetings card designer.,1
freelance illustrator &amp; designer    #5jobsivehad,1
net curtain seller on wolverhampton market,1
squash club/gym manager ,1
mime artist for tab clear,1
eurobonds settlements clerk ,1
traveler/explorer/entrepreneurs/investor/businessperson/friend/influencer/doer of things/ digital/ adventurer.,1
taster of ice cream,1
scooper of ice cream ,1
writer of ice cream related topics,1
marketer of ice cream ,1
seller of ice cream ,1
web designer for college teacher,1
got cheques from google for my fansites as a teen? job??,1
waitress in a strip club yeet,1
i gave out cotton candy &amp; haribo to drunk ppl,1
fucking hentai voice actress ,1
paperboy                                              2) banker.                   #5jobsivehad,1
pot head pixie,1
octave doctor,1
master builder,1
invisible opera company of tibet,1
squeezing sponges over policemen’s heads,1
checkout girl,1
"farm park animal wrangler, ride operator, dogsbody",1
data entry for metal recycling company,1
mental healthcare worker,1
ux architect,1
sortera och fotografera snäckskal på museum,1
soptömmare på köpcentrum,1
konferensfotograf,1
dispatcher på bemanningsföretag,1
försöksperson i läkemedelsstudier,1
deli worker,1
dog walker/sitter,1
